bedrijf,aangepaste_sector,woonplaats,longitude,latitude,schadekosten_2022
Schur Flexible Benelux BV,"Industrie, Energie en Raffinaderijen",Leek,6.39046,53.16245,325925
Croda,"Industrie, Energie en Raffinaderijen",Gouda,4.70853,52.00491,325461
Leo Hoogweg BV,Landbouw,Luttelgeest,5.87513,52.74287,323379
RWZI Weurt-Nijmegen,"Afval, riolering, waterzuivering",Weurt,5.79644,51.84849,319477
RWZI Rotterdam-Dokhaven,"Afval, riolering, waterzuivering",Rotterdam,4.46468,51.89604,315797
Graniet Import Benelux BV,Handel/Diensten/Overheid en Bouw,Amsterdam,4.78320,52.40754,314783
RWZI Nieuwveer,"Afval, riolering, waterzuivering",Breda,4.70793,51.63017,314197
Ecofuels BV,"Industrie, Energie en Raffinaderijen",Well,6.13978,51.56049,307567
Trespa International BV,"Industrie, Energie en Raffinaderijen",Weert,5.65156,51.24084,307487
RWZI Apeldoorn,"Afval, riolering, waterzuivering",Apeldoorn,5.97143,52.23869,307410
Neste Oil Netherlands B.V.,"Industrie, Energie en Raffinaderijen",Maasvlakte Rotterdam,4.04280,51.96701,306471
Wienerberger Steenfabriek de Wolfswaard,"Industrie, Energie en Raffinaderijen",Opheusden,5.65674,51.95101,306463
