bedrijf,longitude,latitude
ICL Fertilizers Europe CV,4.87346,52.40545
Scania Production Meppel BV,6.17813,52.69449
DSM Resins BV,4.15303,51.96476
CONO Kaasmakers (Middenbeemster),4.87436,52.55675
Aliancys Nederland B.V.,6.86895,52.68968
Nuon WKC Almere,5.21568,52.38832
RWZI Weert,5.73656,51.26652
Grolsche Bierbrouwerij Nederland BV,6.81553,52.20671
RWZI Maastricht-Limmel,5.70276,50.87230
Schut Flexible Packaging,4.62248,51.56735
Nefit Industrial BV,6.17860,52.24375
RWZI Amstelveen,4.88954,52.31231
Offshore Ruijtenberg BV,4.86933,51.70093
Bavaria NV,5.60185,51.51456
DOC Kaas (Zuivelfabriek),6.47624,52.70831
E.on Schenkkade,4.33375,52.07636
TU Delft Warmtekrachtcentrale,4.36930,51.99977
Ennatuurlijk (Tilburg),5.01997,51.59164
FrieslandCampina Born,5.82363,51.05659
"Eneco Solar, Bio & Hydro / HWC Ypenburg",4.35941,52.04316
Afvalstoffendienst gemeente 's-Hertogenbosch,5.27738,51.73190
Standic BV,4.63353,51.78783
Gasunie (Beverwijk),4.70006,52.48784
Greenergy Biofuels Amsterdam B.V.,4.77277,52.39885
FrieslandCampina Lutjewinkel,4.88200,52.76434
RWZI Veenendaal,5.52275,52.03825
Vetsmelterij C.M. Bosland BV,5.25582,52.41246
Tata Steel Nederland Tubes BV (Oosterhout),4.88898,51.62470
Loparex BV,5.94367,52.19117
RWZI Assen,6.57467,53.00141
IHC Offshore & Marine B.V.,4.57310,51.90624
RWZI Leiden Zuid-West,4.47403,52.13648
Teijin Aramid BV (Emmen),6.90699,52.77500
RWZI Land van Cuijk,5.89348,51.69624
RWZI Scheemda,7.00811,53.16449
DSM Engineering Plastics (Emmen) BV,6.90699,52.77500
RWZI Den Helder,4.79010,52.92880
Elementis Specialties Netherlands B.V.,6.67903,52.25704
Linde Gas Benelux BV,4.60405,52.48447
RWZI Terneuzen,3.83838,51.29641
RWZI Renkum,5.72479,51.96684
Arla Foods BV,5.47855,52.23660
RWZI Willem Annapolder,3.93449,51.45009
Sonac Eindhoven BV,5.44760,51.43025
Romi Smilfood BV (Heerenveen),5.95234,52.93123
Ennatuurlijk B.V. (Eindhoven),5.45407,51.44927
Givaudan Nederland BV (Barneveld),5.57722,52.16715
Delfluent Services BV,4.31888,52.01541
